sdnn,rmssd,sampen,lf,hf,lf_hf,total_power,Sub_vt1,Mid_vt,Supra_vt2,VT_label_3class,Supra_vt1
11.83091343839754,1.8411058973495797,0.5845924594258989,7.008056375286687,1.2008476135050496,5.835924805505905,17.660485810809543,0,1,0,Mid_vt,1
11.320063824216366,2.116708423101528,0.6131253526087689,37.36528388532944,1.2964859848867567,28.820430240588493,81.28940460568084,0,1,0,Mid_vt,1
6.597744986686332,1.737680119779748,0.7913637439651002,3.835739382545242,1.338544812748382,2.8656040096778437,8.143350277081018,0,1,0,Mid_vt,1
5.346119576941552,4.2886479793562104,0.7129047638255775,0.9834129114030841,0.39294945581954666,2.502644797794795,5.683178864396226,0,1,0,Mid_vt,1
3.2945961844269016,2.0160511323161763,0.6138424555437658,0.7685581139163054,0.053149896554584464,14.460199619147012,3.6584204373930516,0,1,0,Mid_vt,1
1.7326638657620184,2.136134429463121,0.5129866211535147,0.21920860485544544,0.09252462812182764,2.369191957916463,0.42559345731745557,0,0,1,Supra_vt2,1
7.957762298514157,3.2704425757032007,1.1298390187259886,10.64466107743359,1.762994468347756,6.037830105848011,17.584525539149965,1,0,0,Sub_vt1,0
9.242772442347604,2.43938278577576,0.9073237251884986,0.628528146429827,0.4971379795282523,1.2642931586644304,6.739485211867231,1,0,0,Sub_vt1,0
5.172118345230426,2.3127924050692146,0.8174414107850052,1.82185964669094,0.16950634749704854,10.748031997578511,9.820686056942664,0,1,0,Mid_vt,1
3.669989774060088,2.371606002969463,0.9188160251056078,0.7981906466262704,0.057226124702989774,13.948011520419605,1.9020853154293016,0,1,0,Mid_vt,1
16.197967975776802,3.119106873706334,0.5141131500456656,100.87635456656012,4.818919708564955,20.933396003105535,176.9913215854387,1,0,0,Sub_vt1,0
12.19258291771867,2.254966914110081,0.5827605750659309,36.19430064406035,6.190630026535446,5.846626351262716,73.61275591362529,1,0,0,Sub_vt1,0
8.833690091512471,2.179849018658112,0.7456472717091165,18.11350943694473,1.5386142769016735,11.772612349223827,47.76065028286694,1,0,0,Sub_vt1,0
7.934462100846995,2.1435654939425124,0.652626150801218,49.90632073892615,6.283739669764369,7.942136905999093,70.68129498503049,1,0,0,Sub_vt1,0
10.667242866535561,3.1349321950660536,0.8226673408840415,100.57711315684662,5.568123146705136,18.063018813864023,122.78112384243215,1,0,0,Sub_vt1,0
11.779105815951802,1.8532197339256367,0.5669394952443103,17.817840127365248,1.091515220021912,16.32395023040316,32.921253089622176,1,0,0,Sub_vt1,0
10.353694911354728,1.8807120330201421,0.644110768687912,7.879778637988223,1.0842348684021323,7.267593828264236,26.81026035261199,1,0,0,Sub_vt1,0
6.013363925327364,2.0703274730062544,0.6802718803565188,2.4571352446213064,1.104861318052138,2.2239309173690835,5.710174556425714,0,1,0,Mid_vt,1
12.257527117147674,2.0256256654510625,0.47277169213803877,10.5692697400687,0.208123298235116,50.78369327074877,48.3580623511756,0,1,0,Mid_vt,1
8.214030231605067,2.1057443229274373,0.7186740105968226,17.600423599177866,0.7441646301247462,23.651249853446355,46.47594883039794,0,1,0,Mid_vt,1
6.856155294802355,2.279943165260507,0.7101833677125131,4.3105194909354205,0.14596549548401003,29.531085251634842,15.610814813932741,0,1,0,Mid_vt,1
6.937864990772573,2.015813348460206,0.7746755308034781,9.136011317483804,0.7629611163082943,11.974412748174917,33.69642603183224,0,1,0,Mid_vt,1
2.5829152252982364,2.231881784135397,1.1722998237973399,0.5318536604131502,0.10037687980787263,5.298567373593899,1.2009534297103968,0,1,0,Mid_vt,1
2.2814807926265526,2.4895209294269516,1.1854043144975892,0.14089929977853596,0.27656535226093826,0.5094611404743067,0.7253097995633611,0,1,0,Mid_vt,1
3.3556756577325033,2.3957374668006235,1.1303445373145617,0.40709181144041573,0.121841058982974,3.341170988158454,2.8408900292598056,0,1,0,Mid_vt,1
10.19992530137264,3.6401661321138943,0.9509419158556653,45.57040145736113,36.27362420498816,1.2562957922217908,103.19994192576345,1,0,0,Sub_vt1,0
8.89915959637443,2.8361112466959635,0.9116820990051245,23.52137450333851,12.45703588644083,1.8881999472234752,46.718048224125155,1,0,0,Sub_vt1,0
11.119746247895073,3.337436087225091,0.9279433259432502,11.467312943412239,16.27533541452153,0.7045822805704285,37.38703897601766,1,0,0,Sub_vt1,0
8.225737130872012,3.031066945762292,0.9909523378968051,22.61684497156375,9.109088414710202,2.4828878524265905,40.93358567488035,1,0,0,Sub_vt1,0
10.496476250345333,3.7693746289269856,1.083125465377171,33.37802544018384,7.88781370202879,4.2315940387383675,50.536400152727154,1,0,0,Sub_vt1,0
11.333100533069876,3.25784108601948,0.952616189153258,14.394925086054828,2.5645652701373396,5.613007886238723,59.60524809804338,1,0,0,Sub_vt1,0
8.643230440048765,3.3310557167704613,1.015969293301441,20.589495056123738,4.948104638595434,4.161087236418723,32.27226757021986,1,0,0,Sub_vt1,0
6.8114647276485725,2.7963433686016783,0.77724236474789,19.45105257409891,5.500399244148904,3.5362983141251303,29.362638414188414,1,0,0,Sub_vt1,0
4.5507489948604265,2.7178448282686167,0.7863449424172071,6.944820563052069,1.9194900619653947,3.618054972340499,10.32785831863739,1,0,0,Sub_vt1,0
5.484728127626855,2.8920422783882827,1.03177433241706,5.869408948169618,1.2136715849636222,4.836076761528156,12.270178863999135,1,0,0,Sub_vt1,0
5.311469848158961,2.8571667952459006,0.9513382337077658,16.843725345588197,2.473681122561118,6.809174065309233,22.248802580162156,1,0,0,Sub_vt1,0
